"A_x","A_y","B_x","B_y","DA_x","DA_y","DB_x","DB_y"
721,1477,721,1155,721,3857,721,3504,
722,1475,722,1163,722,3885,722,3492,
723,1399,723,1130,723,3923,723,3492,
724,1404,724,1117,724,3935,724,3470,
725,1402,725,1141,725,3923,725,3461,
726,1404,726,1155,726,3930,726,3439,
727,1361,727,1176,727,3944,727,3427,
728,1398,728,1149,728,3939,728,3427,
729,1390,729,1135,729,3940,729,3428,
730,1399,730,1123,730,3965,730,3436,
731,1376,731,1146,731,3964,731,3427,
732,1352,732,1217,732,3955,732,3406,
733,1334,733,1227,733,3951,733,3412,
734,1314,734,1214,734,3972,734,3419,
735,1295,735,1229,735,3971,735,3415,
736,1271,736,1209,736,3966,736,3421,
737,1296,737,1258,737,3969,737,3401,
738,1293,738,1254,738,3984,738,3409,
739,1290,739,1331,739,3987,739,3403,
740,1290,740,1322,740,3990,740,3406,
741,1269,741,1314,741,3988,741,3400,
742,1282,742,1261,742,4005,742,3424,
743,1253,743,1299,743,3990,743,3424,
744,1277,744,1334,744,4004,744,3421,
745,1210,745,1361,745,4000,745,3418,
746,1243,746,1362,746,3980,746,3400,
747,1212,747,1376,747,4004,747,3393,
748,1199,748,1396,748,3996,748,3383,
749,1243,749,1448,749,3973,749,3392,
750,1211,750,1434,750,3969,750,3408,
751,1186,751,1415,751,3957,751,3417,
752,1221,752,1446,752,3947,752,3419,
753,1203,753,1437,753,3944,753,3432,
754,1181,754,1415,754,3947,754,3422,
755,1198,755,1422,755,3937,755,3443,
756,1164,756,1436,756,3929,756,3466,
757,1120,757,1409,757,3945,757,3492,
758,1123,758,1422,758,3941,758,3491,
759,1139,759,1471,759,3923,759,3475,
760,1151,760,1496,760,3888,760,3501,
761,1127,761,1488,761,3880,761,3503,
762,1142,762,1499,762,3851,762,3510,
763,1118,763,1491,763,3842,763,3526,
764,1102,764,1483,764,3815,764,3565,
765,1089,765,1482,765,3814,765,3574,
766,1096,766,1488,766,3797,766,3580,
767,1117,767,1482,767,3761,767,3599,
768,1097,768,1465,768,3752,768,3616,
769,1113,769,1483,769,3724,769,3623,
770,1087,770,1496,770,3738,770,3636,
771,1117,771,1506,771,3720,771,3649,
772,1121,772,1512,772,3710,772,3671,
773,1098,773,1504,773,3706,773,3680,
774,1074,774,1498,774,3698,774,3689,
775,1095,775,1553,775,3671,775,3686,
776,1067,776,1561,776,3650,776,3701,
777,1121,777,1543,777,3614,777,3734,
778,1126,778,1515,778,3611,778,3722,
779,1122,779,1532,779,3615,779,3718,
780,1122,780,1552,780,3606,780,3725,
781,1126,781,1564,781,3589,781,3747,
782,1099,782,1584,782,3585,782,3756,
783,1095,783,1558,783,3597,783,3771,
784,1082,784,1509,784,3607,784,3792,
785,1083,785,1545,785,3598,785,3791,
786,1079,786,1556,786,3586,786,3795,
787,1059,787,1509,787,3576,787,3793,
788,1102,788,1538,788,3553,788,3796,
789,1120,789,1540,789,3524,789,3827,
790,1123,790,1529,790,3515,790,3827,
791,1099,791,1491,791,3500,791,3845,
792,1157,792,1523,792,3503,792,3836,
793,1125,793,1506,793,3506,793,3857,
794,1119,794,1496,794,3500,794,3879,
795,1154,795,1471,795,3484,795,3891,
796,1158,796,1473,796,3474,796,3899,
797,1128,797,1475,797,3488,797,3927,
798,1063,798,1484,798,3506,798,3924,
799,1121,799,1456,799,3512,799,3930,
800,1129,800,1440,800,3513,800,3949,
801,1110,801,1483,801,3520,801,3928,
802,1102,802,1504,802,3522,802,3930,
803,1131,803,1500,803,3515,803,3937,
804,1100,804,1472,804,3511,804,3954,
805,1154,805,1449,805,3487,805,3965,
806,1169,806,1429,806,3483,806,3962,
807,1186,807,1398,807,3488,807,3988,
808,1206,808,1402,808,3480,808,3990,
809,1163,809,1409,809,3475,809,3980,
810,1172,810,1415,810,3476,810,3981,
811,1205,811,1407,811,3477,811,3984,
812,1229,812,1431,812,3454,812,3980,
813,1246,813,1368,813,3418,813,3997,
814,1295,814,1342,814,3427,814,4007,
815,1302,815,1338,815,3433,815,4015,
816,1323,816,1320,816,3434,816,4014,
817,1293,817,1299,817,3442,817,3997,
818,1323,818,1261,818,3445,818,4010,
819,1309,819,1269,819,3448,819,3990,
820,1310,820,1272,820,3450,820,3971,
821,1334,821,1234,821,3454,821,3976,
822,1333,822,1244,822,3448,822,3980,
823,1365,823,1262,823,3459,823,3963,
824,1368,824,1255,824,3452,824,3958,
825,1368,825,1249,825,3456,825,3948,
826,1380,826,1232,826,3468,826,3942,
827,1376,827,1235,827,3478,827,3932,
828,1410,828,1240,828,3490,828,3920,
829,1420,829,1260,829,3511,829,3887,
830,1409,830,1249,830,3507,830,3879,
831,1418,831,1221,831,3512,831,3872,
832,1436,832,1192,832,3507,832,3873,
833,1422,833,1181,833,3528,833,3872,
834,1443,834,1182,834,3520,834,3862,
835,1504,835,1198,835,3527,835,3833,
836,1514,836,1152,836,3537,836,3827,
837,1495,837,1170,837,3547,837,3821,
838,1509,838,1171,838,3561,838,3813,
839,1500,839,1136,839,3571,839,3807,
840,1547,840,1173,840,3564,840,3768,
841,1517,841,1150,841,3589,841,3753,
842,1501,842,1152,842,3597,842,3743,
843,1534,843,1152,843,3580,843,3726,
844,1506,844,1136,844,3610,844,3724,
845,1501,845,1126,845,3625,845,3716,
846,1524,846,1113,846,3619,846,3706,
847,1515,847,1106,847,3602,847,3683,
848,1568,848,1119,848,3597,848,3693,
849,1577,849,1107,849,3614,849,3675,
850,1552,850,1082,850,3636,850,3652,
851,1610,851,1114,851,3634,851,3636,
852,1591,852,1095,852,3653,852,3625,
853,1549,853,1119,853,3692,853,3613,
854,1539,854,1129,854,3710,854,3588,
855,1528,855,1131,855,3740,855,3586,
856,1551,856,1117,856,3771,856,3573,
857,1533,857,1163,857,3800,857,3539,
858,1556,858,1127,858,3817,858,3533,
859,1554,859,1123,859,3830,859,3522,
860,1570,860,1113,860,3839,860,3499,
861,1592,861,1095,861,3864,861,3485,
862,1557,862,1097,862,3871,862,3486,
863,1551,863,1094,863,3872,863,3476,
864,1567,864,1104,864,3891,864,3476,
865,1537,865,1066,865,3901,865,3473,
866,1536,866,1105,866,3906,866,3443,
867,1557,867,1089,867,3927,867,3429,
868,1546,868,1096,868,3927,868,3430,
869,1555,869,1162,869,3933,869,3407,
870,1554,870,1124,870,3956,870,3408,
871,1538,871,1126,871,3960,871,3402,
872,1576,872,1124,872,3968,872,3392,
873,1581,873,1105,873,3980,873,3392,
874,1546,874,1078,874,4002,874,3402,
875,1538,875,1053,875,4031,875,3400,
876,1539,876,1101,876,4052,876,3394,
877,1554,877,1118,877,4060,877,3380,
878,1485,878,1126,878,4081,878,3364,
879,1474,879,1131,879,4103,879,3367,
880,1470,880,1112,880,4111,880,3364,
881,1463,881,1123,881,4116,881,3366,
882,1471,882,1166,882,4123,882,3352,
883,1512,883,1194,883,4126,883,3327,
884,1503,884,1175,884,4125,884,3339,
885,1506,885,1144,885,4138,885,3345,
886,1458,886,1125,886,4139,886,3341,
887,1430,887,1167,887,4135,887,3328,
888,1410,888,1190,888,4134,888,3337,
889,1377,889,1229,889,4144,889,3348,
890,1420,890,1288,890,4121,890,3339,
891,1414,891,1309,891,4134,891,3343,
892,1443,892,1282,892,4119,892,3333,
893,1428,893,1256,893,4135,893,3327,
894,1384,894,1248,894,4161,894,3317,
895,1355,895,1280,895,4155,895,3315,
896,1330,896,1295,896,4152,896,3325,
897,1303,897,1303,897,4149,897,3330,
898,1305,898,1333,898,4151,898,3325,
899,1335,899,1331,899,4133,899,3313,
900,1368,900,1313,900,4112,900,3324,
901,1352,901,1393,901,4115,901,3317,
902,1334,902,1448,902,4106,902,3314,
903,1294,903,1423,903,4108,903,3333,
904,1259,904,1403,904,4119,904,3328,
905,1251,905,1368,905,4101,905,3345,
906,1219,906,1387,906,4119,906,3354,
907,1205,907,1395,907,4113,907,3368,
908,1189,908,1427,908,4097,908,3352,
909,1187,909,1454,909,4085,909,3358,
910,1173,910,1466,910,4068,910,3366,
911,1207,911,1420,911,4046,911,3395,
912,1206,912,1432,912,4027,912,3399,
913,1217,913,1453,913,4032,913,3426,
914,1195,914,1457,914,4047,914,3456,
915,1195,915,1504,915,4036,915,3458,
916,1168,916,1512,916,4017,916,3451,
917,1167,917,1479,917,4004,917,3462,
918,1144,918,1448,918,3997,918,3475,
919,1145,919,1480,919,3990,919,3464,
920,1151,920,1498,920,3979,920,3459,
921,1140,921,1485,921,3963,921,3467,
922,1137,922,1520,922,3954,922,3476,
923,1122,923,1539,923,3943,923,3514,
924,1125,924,1517,924,3937,924,3533,
925,1109,925,1517,925,3912,925,3518,
926,1142,926,1552,926,3881,926,3516,
927,1132,927,1574,927,3859,927,3524,
928,1115,928,1574,928,3856,928,3553,
929,1102,929,1561,929,3844,929,3563,
930,1094,930,1594,930,3816,930,3576,
931,1112,931,1600,931,3820,931,3590,
932,1082,932,1585,932,3808,932,3599,
933,1073,933,1587,933,3789,933,3617,
934,1045,934,1590,934,3782,934,3630,
935,1059,935,1584,935,3750,935,3648,
936,1068,936,1554,936,3732,936,3666,
937,1081,937,1558,937,3714,937,3684,
938,1057,938,1611,938,3681,938,3708,
939,1069,939,1564,939,3669,939,3735,
940,1076,940,1551,940,3657,940,3766,
941,1060,941,1565,941,3658,941,3772,
942,1058,942,1546,942,3634,942,3780,
943,1072,943,1543,943,3625,943,3795,
944,1080,944,1578,944,3629,944,3785,
945,1068,945,1571,945,3603,945,3804,
946,1060,946,1547,946,3597,946,3825,
947,1072,947,1548,947,3583,947,3823,
948,1101,948,1519,948,3573,948,3818,
949,1067,949,1527,949,3565,949,3813,
950,1103,950,1525,950,3548,950,3827,
951,1099,951,1594,951,3535,951,3819,
952,1110,952,1561,952,3512,952,3820,
953,1130,953,1556,953,3523,953,3815,
954,1120,954,1557,954,3511,954,3843,
955,1109,955,1554,955,3502,955,3854,
956,1108,956,1555,956,3506,956,3859,
957,1120,957,1558,957,3494,957,3859,
958,1074,958,1556,958,3510,958,3860,
959,1073,959,1533,959,3494,959,3873,
960,1103,960,1572,960,3487,960,3875,
961,1166,961,1575,961,3459,961,3893,
962,1180,962,1591,962,3438,962,3897,
963,1186,963,1552,963,3432,963,3920,
964,1182,964,1546,964,3424,964,3933,
965,1171,965,1487,965,3421,965,3925,
966,1174,966,1500,966,3407,966,3927,
967,1194,967,1466,967,3396,967,3936,
968,1204,968,1508,968,3400,968,3947,
969,1188,969,1508,969,3406,969,3959,
970,1209,970,1455,970,3409,970,3983,
971,1203,971,1417,971,3406,971,4008,
972,1168,972,1410,972,3420,972,4018,
973,1201,973,1427,973,3410,973,4014,
974,1270,974,1403,974,3382,974,3996,
975,1295,975,1401,975,3369,975,4006,
976,1281,976,1394,976,3371,976,4013,
977,1257,977,1372,977,3382,977,4005,
978,1276,978,1395,978,3359,978,3989,
979,1288,979,1371,979,3345,979,3991,
980,1283,980,1364,980,3349,980,4012,
981,1345,981,1363,981,3339,981,4011,
982,1333,982,1354,982,3342,982,4013,
983,1334,983,1322,983,3369,983,4000,
984,1349,984,1303,984,3371,984,3998,
985,1333,985,1304,985,3362,985,3981,
986,1366,986,1316,986,3361,986,3967,
987,1351,987,1309,987,3370,987,3968,
988,1352,988,1345,988,3370,988,3947,
989,1390,989,1319,989,3377,989,3961,
990,1400,990,1322,990,3375,990,3955,
991,1392,991,1309,991,3389,991,3942,
992,1413,992,1332,992,3388,992,3933,
993,1449,993,1304,993,3378,993,3932,
994,1457,994,1281,994,3369,994,3920,
995,1444,995,1266,995,3378,995,3906,
996,1455,996,1228,996,3384,996,3905,
997,1462,997,1207,997,3403,997,3914,
998,1456,998,1198,998,3412,998,3917,
999,1496,999,1197,999,3400,999,3924,
1000,1496,1000,1188,1000,3412,1000,3905,
1001,1528,1001,1166,1001,3409,1001,3892,
1002,1553,1002,1169,1002,3397,1002,3878,
1003,1549,1003,1159,1003,3414,1003,3857,
1004,1542,1004,1152,1004,3426,1004,3845,
1005,1529,1005,1152,1005,3445,1005,3824,
1006,1492,1006,1166,1006,3470,1006,3796,
1007,1474,1007,1194,1007,3487,1007,3784,
1008,1511,1008,1194,1008,3488,1008,3776,
1009,1542,1009,1175,1009,3499,1009,3758,
1010,1552,1010,1123,1010,3510,1010,3758,
1011,1546,1011,1122,1011,3541,1011,3759,
1012,1573,1012,1118,1012,3544,1012,3748,
1013,1574,1013,1110,1013,3531,1013,3735,
1014,1571,1014,1102,1014,3550,1014,3710,
1015,1573,1015,1128,1015,3553,1015,3690,
1016,1591,1016,1101,1016,3553,1016,3698,
1017,1593,1017,1116,1017,3573,1017,3673,
1018,1617,1018,1122,1018,3574,1018,3635,
1019,1600,1019,1127,1019,3594,1019,3618,
1020,1588,1020,1124,1020,3612,1020,3597,
1021,1586,1021,1116,1021,3655,1021,3602,
1022,1576,1022,1132,1022,3670,1022,3588,
1023,1572,1023,1132,1023,3663,1023,3577,
1024,1554,1024,1154,1024,3675,1024,3543,
1025,1581,1025,1150,1025,3682,1025,3542,
1026,1643,1026,1124,1026,3692,1026,3541,
1027,1619,1027,1124,1027,3710,1027,3544,
1028,1585,1028,1124,1028,3713,1028,3520,
1029,1561,1029,1107,1029,3721,1029,3519,
1030,1555,1030,1109,1030,3749,1030,3524,
1031,1533,1031,1129,1031,3761,1031,3510,
1032,1562,1032,1120,1032,3778,1032,3506,
1033,1565,1033,1129,1033,3773,1033,3481,
1034,1543,1034,1112,1034,3786,1034,3472,
1035,1605,1035,1105,1035,3782,1035,3462,
1036,1555,1036,1130,1036,3808,1036,3453,
1037,1557,1037,1154,1037,3834,1037,3448,
1038,1527,1038,1144,1038,3839,1038,3426,
1039,1510,1039,1158,1039,3843,1039,3414,
1040,1524,1040,1139,1040,3858,1040,3414,
1041,1515,1041,1163,1041,3872,1041,3412,
1042,1484,1042,1163,1042,3855,1042,3393,
1043,1479,1043,1228,1043,3885,1043,3384,
1044,1475,1044,1239,1044,3866,1044,3393,
1045,1486,1045,1247,1045,3879,1045,3393,
1046,1474,1046,1221,1046,3880,1046,3415,
1047,1452,1047,1211,1047,3884,1047,3428,
1048,1459,1048,1181,1048,3897,1048,3420,
1049,1447,1049,1182,1049,3913,1049,3406,
1050,1394,1050,1225,1050,3915,1050,3390,
1051,1435,1051,1246,1051,3909,1051,3389,
1052,1431,1052,1206,1052,3913,1052,3410,
1053,1443,1053,1195,1053,3918,1053,3412,
